Gentry,0.018,38.68,38.680
Carrillo,0.017,38.697,38.697
Kent,0.017,38.714,38.714
Ayers,0.017,38.731,38.731
Lara,0.017,38.748,38.748
Shannon,0.017,38.765,38.765
Sexton,0.017,38.782,38.782
Pace,0.017,38.799,38.799
Hull,0.017,38.816,38.816
Leblanc,0.017,38.833,38.833
Browning,0.017,38.85,38.850
Velasquez,0.017,38.867,38.867
Leach,0.017,38.884,38.884
Chang,0.017,38.901,38.901
House,0.017,38.918,38.918
Sellers,0.017,38.935,38.935
Herring,0.017,38.952,38.952
Noble,0.017,38.969,38.969
Foley,0.017,38.986,38.986
Bartlett,0.017,39.003,39.003
Mercado,0.017,39.02,39.020
Landry,0.017,39.037,39.037
Durham,0.017,39.054,39.054
Walls,0.017,39.071,39.071
Barr,0.017,39.088,39.088
Mckee,0.017,39.105,39.105
Bauer,0.017,39.122,39.122
Rivers,0.017,39.139,39.139
Everett,0.017,39.156,39.156
Bradshaw,0.017,39.173,39.173
Pugh,0.017,39.19,39.190
Velez,0.017,39.207,39.207
Rush,0.017,39.224,39.224
Estes,0.017,39.241,39.241
Dodson,0.017,39.258,39.258
Morse,0.017,39.275,39.275
Sheppard,0.017,39.292,39.292
Weeks,0.017,39.309,39.309
Camacho,0.017,39.326,39.326
Bean,0.017,39.343,39.343
Barron,0.017,39.36,39.360
Livingston,0.017,39.377,39.377
Middleton,0.016,39.393,39.393
Spears,0.016,39.409,39.409
Branch,0.016,39.425,39.425
Blevins,0.016,39.441,39.441
Chen,0.016,39.457,39.457
Kerr,0.016,39.473,39.473
Mcconnell,0.016,39.489,39.489
Hatfield,0.016,39.505,39.505
Harding,0.016,39.521,39.521
Ashley,0.016,39.537,39.537
Solis,0.016,39.553,39.553
Herman,0.016,39.569,39.569
Frost,0.016,39.585,39.585
Giles,0.016,39.601,39.601
Blackburn,0.016,39.617,39.617
William,0.016,39.633,39.633
Pennington,0.016,39.649,39.649
Woodward,0.016,39.665,39.665
Finley,0.016,39.681,39.681
Mcintosh,0.016,39.697,39.697
Koch,0.016,39.713,39.713
Best,0.016,39.729,39.729
Solomon,0.016,39.745,39.745
Mccullough,0.016,39.761,39.761
Dudley,0.016,39.777,39.777
Nolan,0.016,39.793,39.793
Blanchard,0.016,39.809,39.809
Rivas,0.016,39.825,39.825
Brennan,0.016,39.841,39.841
Mejia,0.016,39.857,39.857
Kane,0.016,39.873,39.873
Benton,0.016,39.889,39.889
Joyce,0.016,39.905,39.905
Buckley,0.016,39.921,39.921
Haley,0.016,39.937,39.937
Valentine,0.016,39.953,39.953
Maddox,0.016,39.969,39.969
Russo,0.016,39.985,39.985
Mcknight,0.016,40.001,40.001
Buck,0.016,40.017,40.017
Moon,0.016,40.033,40.033
Mcmillan,0.016,40.049,40.049
Crosby,0.016,40.065,40.065
Berg,0.016,40.081,40.081
Dotson,0.016,40.097,40.097
Mays,0.016,40.113,40.113
Roach,0.016,40.129,40.129
Church,0.016,40.145,40.145
Chan,0.016,40.161,40.161
Richmond,0.016,40.177,40.177
Meadows,0.016,40.193,40.193
Faulkner,0.016,40.209,40.209
Oneill,0.016,40.225,40.225
Knapp,0.016,40.241,40.241
Kline,0.015,40.256,40.256
Barry,0.015,40.271,40.271
Ochoa,0.015,40.286,40.286
Jacobson,0.015,40.301,40.301
Gay,0.015,40.316,40.316
Avery,0.015,40.331,40.331
Hendricks,0.015,40.346,40.346
Horne,0.015,40.361,40.361
Shepard,0.015,40.376,40.376
Hebert,0.015,40.391,40.391
Cherry,0.015,40.406,40.406
Cardenas,0.015,40.421,40.421
Mcintyre,0.015,40.436,40.436
Whitney,0.015,40.451,40.451
Waller,0.015,40.466,40.466
Holman,0.015,40.481,40.481
Donaldson,0.015,40.496,40.496
Cantu,0.015,40.511,40.511
Terrell,0.015,40.526,40.526
Morin,0.015,40.541,40.541
Gillespie,0.015,40.556,40.556
Fuentes,0.015,40.571,40.571
Tillman,0.015,40.586,40.586
Sanford,0.015,40.601,40.601
Bentley,0.015,40.616,40.616
Peck,0.015,40.631,40.631
Key,0.015,40.646,40.646
Salas,0.015,40.661,40.661
Rollins,0.015,40.676,40.676
Gamble,0.015,40.691,40.691
Dickson,0.015,40.706,40.706
Battle,0.015,40.721,40.721
Santana,0.015,40.736,40.736
Cabrera,0.015,40.751,40.751
Cervantes,0.015,40.766,40.766
Howe,0.015,40.781,40.781
Hinton,0.015,40.796,40.796
Hurley,0.015,40.811,40.811
Spence,0.015,40.826,40.826
Zamora,0.015,40.841,40.841
Yang,0.015,40.856,40.856
Mcneil,0.015,40.871,40.871
